Categoria,Fundo,Data Inicio,Aplic. Inicial (R$),Cota (R$),Variacao Dia (%),Acum. Mes (%),Acum. Ano (%),Acum. 12M (%),PL (milhoes R$),PL Medio (milhoes R$),URL
RENDA FIXA SIMPLES,CAIXA FIC FIF FÁCIL RF SIMPLES RESP LTDA (8),,,,,,,,,,
RENDA FIXA SIMPLES,CAIXA FIF E-SIMPLES RENDA FIXA LP RESP LTDA,,,,,,,,,,
RENDA FIXA,CAIXA FIF BRASIL IDKA IPCA 2A TIT PUB RF LP RESP LTDA,,,,,,,,,,
RENDA FIXA,CAIXA FIC FIF BRASIL GESTÃO ESTRATÉGICA RF RESP LTDA,,,,,,,,,,
RENDA FIXA,CAIXA BRASIL INFLAÇÃO ATIVA FIF RF CRED PRIV RESP LTDA,,,,,,,,,,
RENDA FIXA,CAIXA FIC FIF CAPITAL IND PREÇOS RF LP RESP LTDA,,,,,,,,,,
RENDA FIXA,CAIXA FI BRASIL IMA-B TP RF LP,,,,,,,,,,
RENDA FIXA,CAIXA FIF BRASIL IMA-B 5 TP RF LP - RESP LTDA,,,,,,,,,,
RENDA FIXA,CAIXA FIF BRASIL IMA GERAL TP RF LP - RESP LTDA,,,,,,,,,,
RENDA FIXA,CAIXA FIF RS TITULOS PUBLICOS RF LP - RESP LTDA,,,,,,,,,,
RENDA FIXA,CAIXA FIC FIF RELACIONAMENTO PERSONAL RF LP RESP LTDA,,,,,,,,,,
RENDA FIXA,CAIXA FIF BRASIL IMA-B 5+ TP RF LP - RESP LTDA,,,,,,,,,,
RENDA FIXA,CAIXA FI BRASIL IRF-M 1+ TP RF LP,,,,,,,,,,
RENDA FIXA,CAIXA FIC FIF E-FUNDO RF LP RESP LTDA,,,,,,,,,,
RENDA FIXA,CAIXA FIF BRASIL TITULOS PUBLICOS RF LP - RESP LTDA,,,,,,,,,,
RENDA FIXA,CAIXA FIF BRASIL IRF-M TP RF LP - RESP LTDA,,,,,,,,,,
RENDA FIXA,CAIXA FI BRASIL IRF-M 1 TP RF,,,,,,,,,,
RENDA FIXA,CAIXA FIC FIF IDEAL RF LP RESP LTDA,,,,,,,,,,
RENDA FIXA,CAIXA FIF ALIANÇA TP RF CURTO PRAZO - RESP LTDA,,,,,,,,,,
RENDA FIXA,CAIXA FIC FIF GERAÇÃO JOVEM CRED PRIV RF LP RESP LTDA,,,,,,,,,,
RENDA FIXA,CAIXA FIC FIF ABSOLUTO PRE RF LP RESP LTDA,,,,,,,,,,
RENDA FIXA,CAIXA FIC FIF EMPREENDER RF LP RESP LTDA,,,,,,,,,,
RENDA FIXA,CAIXA FIC FIF SOBERANO RF LP RESP LTDA,,,,,,,,,,
RENDA FIXA,CAIXA FIC FIF BRASIL DISPONIBILIDADES SIMPLES RF RESP LTDA,,,,,,,,,,
RENDA FIXA,CAIXA FIC FIF FOCO IND PREÇOS RF LP RESP LTDA,,,,,,,,,,
RENDA FIXA,CAIXA FIC FIF CLÁSSICO RF LP RESP LTDA,,,,,,,,,,
RENDA FIXA,CAIXA FIC FIF DESENVOLVER RF LP RESP LTDA,,,,,,,,,,
RENDA FIXA,CAIXA FIC FIF EXECUTIVO RF LP RESP LTDA,,,,,,,,,,
RENDA FIXA,CAIXA FIC FIF TITULO PUBLICO MPE RF LP RESP LTDA,,,,,,,,,,
RENDA FIXA,CAIXA FIC FIF EQUILIBRIO MPE RF LP RESP LTDA,,,,,,,,,,
RENDA FIXA,CAIXA FIF SAUDE SUPLEMENTAR ANS RF LP - RESP LTDA,,,,,,,,,,
RENDA FIXA,CAIXA FIC RELACIONAMENTO IDEAL RF LP,,,,,,,,,,
RENDA FIXA,CAIXA FIC FIF OAB RF CRÉD PRIV LP RESP LTDA,,,,,,,,,,
RENDA FIXA,CAIXA FIC FIFINVESTIDOR RF LP RESP LTDA,,,,,,,,,,
RENDA FIXA,CAIXA FIC FIF EXPERTISE RF CRED PRIV LP RESP LTDA,,,,,,,,,,
RENDA FIXA,CAIXA FIC FIF SELEÇÃO RF RESP LTDA,,,,,,,,,,
RENDA FIXA,CAIXA FIC FIF PERSONAL RF LP RESP LTDA,,,,,,,,,,
RENDA FIXA,CAIXA FIC FIF SUPREMO RF LP RESP LTDA,,,,,,,,,,
RENDA FIXA,CAIXA FIC FIF PATRIMONIO IND.DE PRECOS RF LP RESP LTDA,,,,,,,,,,
RENDA FIXA,CAIXA FIF EXTRAMERCADO COMUM IRFM-1 RF RESP LTDA,,,,,,,,,,
RENDA FIXA,CAIXA FIF DIAMANTE CORP RF CRED PRIV LP - RESP LTDA,,,,,,,,,,
RENDA FIXA,CAIXA FIF SAUDE SUPLEMENTAR ANS II RF LP - RESP LTDA,,,,,,,,,,
RENDA FIXA,CAIXA FIF SEBRAE RF LP RESP LTDA,,,,,,,,,,
RENDA FIXA,CAIXA FIF CNI RF LP - RESP LTDA,,,,,,,,,,
RENDA FIXA REFERENCIADO,CAIXA FIC FIF NOVO BRASIL RF IMA-B LP RESP LTDA,,,,,,,,,,
RENDA FIXA REFERENCIADO,CAIXA FIC FIF BETA RF REF DI LP RESP LTDA,,,,,,,,,,
RENDA FIXA REFERENCIADO,CAIXA FIC FIF BRASIL RF REFER DI LONGO PRAZO RESP LTDA,,,,,,,,,,
RENDA FIXA REFERENCIADO,CAIXA FIC FIF GIRO IMEDIATO RF REF DI LP RESP LTDA,,,,,,,,,,
RENDA FIXA REFERENCIADO,CAIXA FIC FIF PLENO REF DI LP RESP LTDA,,,,,,,,,,
RENDA FIXA REFERENCIADO,CAIXA FIC FIF PREFERENCIAL REF DI LP RESP LTDA,,,,,,,,,,
RENDA FIXA REFERENCIADO,CAIXA FIC FIF SIGMA RF REF DI LP RESP LTDA,,,,,,,,,,
RENDA FIXA REFERENCIADO,CAIXA FIC FIF RUBI RF REF DI LP RESP LTDA,,,,,,,,,,
RENDA FIXA CURTO PRAZO,CAIXA FIC FIF PRÁTICO RF CURTO PRAZO RESP LTDA (8),,,,,,,,,,
RENDA FIXA CURTO PRAZO,CAIXA FIC FIF TURQUESA CORPORATIVO RF CP RESP LTDA (8),,,,,,,,,,
RENDA FIXA CURTO PRAZO,CAIXA FIC FIF TRANSFERÊNCIA VOLUNTÁRIA RF CP RESP LTDA (8),,,,,,,,,,
MULTIMERCADO,CAIXA FIF MULTIMERCADO RV 30 LP RESP LTDA,,,,,,,,,,
MULTIMERCADO,CAIXA FIF INDEXA OURO MULTIMERCADO LP RESP LTDA,,,,,,,,,,
MULTIMERCADO,CAIXA FIC FIF ESTRATÉGIA LIVRE MULTIMERCADO LP RESP LTDA,,,,,,,,,,
MULTIMERCADO,CAIXA FIC MULTIGESTOR GLOBAL EQUITIES IE,,,,,,,,,,
MULTIMERCADO,CAIXA FIC FIF FOF SMART MULTIESTRATEGIA MM RESP LTDA,,,,,,,,,,
MULTIMERCADO,CAIXA FIF INDEXA BOLSA AMERICANA MM LP RESP LTDA,,,,,,,,,,
MULTIMERCADO,CAIXA FIC FIF JUROS E MOEDAS MM PLUS LP RESP LTDA,,,,,,,,,,
MULTIMERCADO,CAIXA FIC FIF ESTRATÉGICO MULTIMERCADO LP RESP LTDA,,,,,,,,,,
MULTIMERCADO,CAIXA FIC FIF HEDGE MULTIMERCADO LONGO PRAZO RESP LTDA,,,,,,,,,,
MULTIMERCADO,CAIXA CAPITAL PROTEGIDO IBOVESPA CÍCLICO I FIC FIF MM,,,,,,,,,,
MULTIMERCADO,CAIXA EXPERT GIANT ZARATHUSTRA FIC MULTIMERCADO - RESP LTDA,,,,,,,,,,
MULTIMERCADO,CAIXA FIC FIF ALOCAÇÃO MACRO MM LONGO PRAZO RESP LTDA,,,,,,,,,,
MULTIMERCADO,FIC FIF CAIXA EXPERT BTG PACTUAL X10 MM LP RESP LTDA,,,,,,,,,,
MULTIMERCADO,CAIXA FIC FIF JUROS E MOEDAS MM LP RESP LTDA,,,,,,,,,,
CAMBIAL,CAIXA FIC FIF INDEXA DOLAR CAMBIAL RESP LTDA,,,,,,,,,,
