Categoria,Fundo,Fundo_norm,Data Inicio,Cota (R$),Variacao Dia (%),Acum. Mes (%),Acum. Ano (%),Acum. 12M (%),PL (milhoes R$),Perfil,Perfis
RENDA FIXA SIMPLES,CAIXA FIF E-SIMPLES RENDA FIXA LP RESP LTDA,CAIXA FIF E-SIMPLES RENDA FIXA LP RESP LTDA,15/10/2015,"2,23205700","0,046","0,85","3,87","12,87","409,584",PF,PF | PJ | TODOS
RENDA FIXA SIMPLES,CAIXA FIC FIF FÁCIL RF SIMPLES RESP LTDA (8),CAIXA FIC FIF FACIL RF SIMPLES RESP LTDA (8),24/02/2003,"5,42579100","0,046","0,84","3,79","12,61","6.611,883",PF,PF | PJ | TODOS
RENDA FIXA SIMPLES,CAIXA FIC FIF MOVIMENTAÇÕES AUTOMÁTICAS RF SIMPLES RESP LTDA (8),CAIXA FIC FIF MOVIMENTACOES AUTOMATICAS RF SIMPLES RESP LTDA (8),13/07/2012,"2,73959200","0,046","0,84","3,79","12,61","830,957",PF,PF | PJ
RENDA FIXA,CAIXA FIC FIF ABSOLUTO PRE RF LP RESP LTDA,CAIXA FIC FIF ABSOLUTO PRE RF LP RESP LTDA,03/11/1997,"19,78354800","0,027","1,26","3,21","12,67","126,956",PF,PF | PJ | TODOS
RENDA FIXA,CAIXA FIC FIF E-FUNDO RF LP RESP LTDA,CAIXA FIC FIF E-FUNDO RF LP RESP LTDA,05/10/2012,"3,30447800","0,056","0,95","4,22","14,23","61,453",PF,PF | PJ | TODOS
RENDA FIXA,CAIXA FIC FIF IDEAL RF LP RESP LTDA,CAIXA FIC FIF IDEAL RF LP RESP LTDA,28/10/1992,"9,56365800","0,053","0,89","3,96","13,34","584,684",PF,PF | PJ | TODOS
RENDA FIXA,CAIXA FIC FIF CAPITAL IND PREÇOS RF LP RESP LTDA,CAIXA FIC FIF CAPITAL IND PRECOS RF LP RESP LTDA,03/01/2000,"13,37930500","0,027","0,98","4,04","9,67","28,659",PF,PF | PJ | TODOS
RENDA FIXA,CAIXA FIC FIF RELACIONAMENTO PERSONAL RF LP RESP LTDA,CAIXA FIC FIF RELACIONAMENTO PERSONAL RF LP RESP LTDA,16/04/2012,"3,43245300","0,057","0,93","4,22","14,31","119,526",PF,PF | TODOS
RENDA FIXA,CAIXA FIC FIF GERAÇÃO JOVEM CRED PRIV RF LP RESP LTDA,CAIXA FIC FIF GERACAO JOVEM CRED PRIV RF LP RESP LTDA,26/04/2012,"3,28040500","0,059","0,90","4,11","14,03","11,358",PF,PF | PJ | TODOS
RENDA FIXA,CAIXA MASTER PLUS FIF RF CRED PRIV LP RESP LTDA,CAIXA MASTER PLUS FIF RF CRED PRIV LP RESP LTDA,21/01/2021,"1.804,38411400","0,065","0,91","4,12","14,55","95,425",PF,PF | PJ
